  *WEL.ASC - RUE                                 13.10.2015 11:30

  Ergebnisse GewaesserImmission-SimulationsMOdell    : GISMO 4.10 
  ====================================================
                                                      
  SYDRO Consult GmbH - Darmstadt                      
  SYDRO Software GbR - Dieburg                        
                                                      
   xxxxxxxxxxxxx                          
   yyyyyyyyyyyyyyyyyyy                    
   zzzzzzzzzzzzzzzzzzzzzzz                
   Datum der Simulation       : 13.10.2015 11:30 Uhr
   Wellenausgabe - Verzweigung: RUE             
  
   Datum   Zeit    Qtr_zu    Qzu    Qtr_ab1    Qab1   Qtr_ab2    Qab2    CSzu(3)   CSab1(3)   CSab2(3)
     -      -      cbm/s    cbm/s    cbm/s    cbm/s    cbm/s    cbm/s      mg/l       mg/l       mg/l
 19700623 14:45    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700623 14:50    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700623 14:55    0.015    0.015    0.015    0.015    0.000    0.000    967.671    967.671    967.671       F T
 19700623 15:00    0.013    0.013    0.013    0.013    0.000    0.000    954.123    954.123    954.123       F T
 19700623 15:05    0.012    0.012    0.012    0.012    0.000    0.000    948.460    948.460    948.460       F T
 19700623 15:10    0.012    0.012    0.012    0.012    0.000    0.000    946.227    946.227    946.227       F T
 19700623 15:15    0.012    0.012    0.012    0.012    0.000    0.000    945.047    945.047    945.047       F T
 19700623 15:20    0.012    0.012    0.012    0.012    0.000    0.000    943.543    943.543    943.543       F T
 19700623 15:25    0.012    0.012    0.012    0.012    0.000    0.000    942.480    942.480    942.480       F T
 19700623 15:30    0.012    0.012    0.012    0.012    0.000    0.000    942.067    942.067    942.067       F T
 19700623 15:35    0.012    0.012    0.012    0.012    0.000    0.000    941.964    941.964    941.964       F T
 19700623 15:40    0.012    0.012    0.012    0.012    0.000    0.000    941.946    941.946    941.946       F T
 19700623 15:45    0.012    0.012    0.012    0.012    0.000    0.000    941.944    941.944    941.944       F T
 19700623 15:50    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
 19700623 15:55    0.012    0.012    0.012    0.012    0.000    0.000    941.943    941.943    941.943       F T
