Gew.Typ.:;19   ;;                   
Grundlast:;  1069.200; l/s;
QM Klaeranlage:;       0.0; l/s;                   
AEO:;    13.500; km2;                   
AEOpnat:;    13.728; km2;                   
T Datum Zeit     ;    Q_zu;    Q_ab;      tf;
 - ;l/s;l/s;min;
02.01.2003 05:15 ;  1069.2;  1069.2;   10.90;
02.01.2003 05:20 ;  1069.2;  1069.2;   10.90;
02.01.2003 05:25 ;  1069.2;  1069.2;   10.90;
02.01.2003 05:30 ;  1069.2;  1069.2;   10.90;
02.01.2003 05:35 ;  1069.2;  1069.2;   10.90;
02.01.2003 05:40 ;  1069.2;  1069.2;   10.90;
02.01.2003 05:45 ;  1069.2;  1069.2;   10.90;
02.01.2003 05:50 ;  1069.2;  1069.2;   10.90;
02.01.2003 05:55 ;  1116.4;  1085.1;   10.80;
02.01.2003 06:00 ;  1124.2;  1101.0;   10.76;
02.01.2003 06:05 ;  1087.5;  1099.3;   10.82;
02.01.2003 06:10 ;  1069.2;  1088.9;   10.87;
02.01.2003 06:15 ;  1069.2;  1080.4;   10.89;
02.01.2003 06:20 ;  1069.2;  1075.1;   10.89;
02.01.2003 06:25 ;  1069.2;  1072.2;   10.90;
02.01.2003 06:30 ;  1080.7;  1074.6;   10.88;
02.01.2003 06:35 ;  1102.7;  1084.4;   10.82;
02.01.2003 06:40 ;  1098.8;  1091.0;   10.82;
02.01.2003 06:45 ;  1092.3;  1092.6;   10.83;
02.01.2003 06:50 ;  1072.0;  1086.0;   10.87;
02.01.2003 06:55 ;  1075.6;  1081.3;   10.87;
02.01.2003 07:00 ;  1073.7;  1077.9;   10.88;
02.01.2003 07:05 ;  1069.2;  1074.4;   10.90;
02.01.2003 07:10 ;  1069.2;  1072.0;   10.90;
02.01.2003 07:15 ;  1084.5;  1075.8;   10.87;
02.01.2003 07:20 ;  1113.4;  1089.1;   10.80;
02.01.2003 07:25 ;  1149.6;  1111.8;   10.70;
02.01.2003 07:30 ;  1165.7;  1134.0;   10.64;
02.01.2003 07:35 ;  1142.6;  1140.8;   10.67;
02.01.2003 07:40 ;  1155.0;  1146.8;   10.64;
02.01.2003 07:45 ;  1129.8;  1142.1;   10.69;
02.01.2003 07:50 ;  1103.1;  1128.2;   10.75;
02.01.2003 07:55 ;  1069.2;  1105.9;   10.84;
02.01.2003 08:00 ;  1069.2;  1089.6;   10.87;
02.01.2003 08:05 ;  1069.2;  1079.9;   10.89;
02.01.2003 08:10 ;  1069.2;  1074.6;   10.90;
02.01.2003 08:15 ;  1069.2;  1071.8;   10.90;
02.01.2003 08:20 ;  1069.2;  1070.5;   10.90;
02.01.2003 08:25 ;  1069.2;  1069.8;   10.90;
02.01.2003 08:30 ;  1069.2;  1069.5;   10.90;
02.01.2003 08:35 ;  1069.2;  1069.3;   10.90;
02.01.2003 08:40 ;  1069.2;  1069.3;   10.90;
02.01.2003 08:45 ;  1069.2;  1069.2;   10.90;
02.01.2003 08:50 ;  1069.2;  1069.2;   10.90;
02.01.2003 08:55 ;  1069.2;  1069.2;   10.90;
02.01.2003 09:00 ;  1069.2;  1069.2;   10.90;
02.01.2003 09:05 ;  1069.2;  1069.2;   10.90;
02.01.2003 09:10 ;  1069.2;  1069.2;   10.90;
02.01.2003 09:15 ;  1069.2;  1069.2;   10.90;
02.01.2003 09:20 ;  1069.2;  1069.2;   10.90;
02.01.2003 09:25 ;  1069.2;  1069.2;   10.90;
02.01.2003 09:30 ;  1069.2;  1069.2;   10.90;
02.01.2003 09:35 ;  1069.2;  1069.2;   10.90;
02.01.2003 09:40 ;  1110.5;  1083.1;   10.81;
02.01.2003 09:45 ;  1207.1;  1127.3;   10.59;
02.01.2003 09:50 ;  1195.9;  1158.2;   10.56;
02.01.2003 09:55 ;  1107.4;  1146.5;   10.72;
02.01.2003 10:00 ;  1075.3;  1120.5;   10.81;
02.01.2003 10:05 ;  1072.3;  1099.7;   10.85;
02.01.2003 10:10 ;  1069.2;  1085.8;   10.88;
02.01.2003 10:15 ;  1069.2;  1077.7;   10.89;
02.01.2003 10:20 ;  1069.2;  1073.4;   10.90;
02.01.2003 10:25 ;  1069.2;  1071.3;   10.90;
02.01.2003 10:30 ;  1069.2;  1070.2;   10.90;
02.01.2003 10:35 ;  1069.2;  1069.7;   10.90;
02.01.2003 10:40 ;  1069.2;  1069.4;   10.90;
02.01.2003 10:45 ;  1069.2;  1069.3;   10.90;
02.01.2003 10:50 ;  1069.2;  1069.2;   10.90;
02.01.2003 10:55 ;  1069.2;  1069.2;   10.90;
02.01.2003 11:00 ;  1069.2;  1069.2;   10.90;
02.01.2003 11:05 ;  1069.2;  1069.2;   10.90;
02.01.2003 11:10 ;  1069.2;  1069.2;   10.90;
02.01.2003 11:15 ;  1069.2;  1069.2;   10.90;
